Bed Head	Joey Pecoraro	yes	4YsRHNTStitzNxhZKCwww0	Bed Head	Deep in a Dream of You	Joey Pecoraro
Beep [feat. will.i.am]	The Pussycat Dolls	no				
Before You Go	Lewis Capaldi	yes	2gMXnyrvIjhVBUZwvLZDMP	Before You Go	Divinely Uninspired To A Hellish Extent (Extended Edition)	Lewis Capaldi
Beggars At The Feast	Les Misérables Cast	maybe	0uHKrVt060sZ4dPecsvtKc	Wedding Chorale / Beggars At The Feast	Les Misérables (Original Broadway Cast Recording)	Jennifer Butt,Leo Burmester
Beggin'	Chris Lake & Aluna	maybe	74nEGIzIefJhJ5qX7NeIAz	Beggin'	Beggin'	Chris Lake,Aluna
Behold a Pale Horse	Stoik [feat. Jah'kota, Plex & Drezus]	maybe	6NPDuyzOz4uKaPwWhHonrn	Behold a Pale Horse	Gray/Grey	$uicideboy$
Believe For It	CeCe Winans	yes	0fukHGuIvc2NQEFCkI2owi	Believe For It	Believe For It	CeCe Winans
Believe For It (Live)	CeCe Winans	no				
Bella Ciao	Hardwell & Maddix	maybe	3M0NUo9eoV5otcWVIPNrwD	Bella Ciao	Bella Ciao	Hardwell,Maddix
The Bells Of Notre Dame	VARIOUS ARTISTS	maybe	1uAhTeLvz36fyazlBuPFvg	The Bells Of Notre Dame	The Hunchback of Notre Dame (Studio Cast Recording)	Patrick Page,Jeremy Stolle,William Michals,The Hunchback of Notre Dame Ensemble,The Hunchback of Notre Dame Choir
The Bells of Notre Dame (From "The Hunchback of Notre Dame"/Soundtrack)	VARIOUS ARTISTS	no				
Belly Dancer	Imanbek & BYOR	maybe	7fZBQnc0zXwVybgCIrQQil	Belly Dancer	Belly Dancer	Imanbek,BYOR
bellyache	Billie Eilish	yes	1ni8ZTAY1GHXEFOGHl7fdg	bellyache	dont smile at me	Billie Eilish
Beneath A Moonless Sky	Andrew Lloyd Webber	yes	55UbOm5dqtQq9Va1nZkpXv	Beneath A Moonless Sky	Love Never Dies	Andrew Lloyd Webber,Sierra Boggess,Ramin Karimloo
Benny's Dispatch	In The Heights (Original Cast Recording)	maybe	5ZTuSZiQfauqYcGt3rVaV2	Benny's Dispatch	In The Heights (Original Motion Picture Soundtrack)	Leslie Grace,Corey Hawkins
Best Friend	VARIOUS ARTISTS	maybe	2etHQJxIbV0soyPhelVs9Y	Best Friend (feat. Doja Cat)	Best Friend (feat. Doja Cat)	Saweetie,Doja Cat
Best Of Luck	Nickel Creek	yes	7wEKsPwXQABXr8udz6m9uD	Best Of Luck	Why Should The Fire Die?	Nickel Creek
Best of Wives and Best of Women	Lin-Manuel Miranda	yes	1dZutYKh4BtPlxbC81wV34	Best of Wives and Best of Women	Hamilton (Original Broadway Cast Recording)	Phillipa Soo,Lin-Manuel Miranda
Better in Color	Lizzo	yes	4G6ZVCy1V2w0xjW2lbazNE	Better in Color	Cuz I Love You	Lizzo
Between Two Lungs	Florence + The Machine	yes	5WnYyCWBbJyLChmd2sbZK9	Between Two Lungs	Lungs (Deluxe Edition)	Florence + The Machine
Beyond Me	TobyMac	yes	1ivyn9uN7FT3wF9GpEU6GE	Beyond Me	This Is Not A Test	TobyMac
Beyond Me (Phenomenon Remix By Soul Glow Activatur)	TobyMac	no				
Beyond the Sea	Bobby Darin	yes	3KzgdYUlqV6TOG7JCmx2Wg	Beyond the Sea	That's All	Bobby Darin
Big Parade	The Lumineers	yes	2YBg2EU6Ru4aI6Y45PennF	Big Parade	The Lumineers	The Lumineers
Big Time	Big & Rich	yes	1nuGC9VHMnpvcFKkvEmFbs	Big Time	Horse of a Different Color	Big & Rich
Birthday Suit	Cosmo Sheldrake	yes	2IrPJS5I21gpLydn0HgyiJ	Birthday Suit	The Much Much How How and I	Cosmo Sheldrake
The Bishop	Les Misérables Cast	maybe	4o4MIPR7Ognceg3e6DsjGD	The Bishop	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	Colm Wilkinson
Black Betty	Ram Jam	yes	6kooDsorCpWVMGc994XjWN	Black Betty	Ram Jam	Ram Jam
Black Mambo	Glass Animals	yes	63OC8cNa4ZnFB3bbvbWCOc	Black Mambo	ZABA	Glass Animals
Black Man In A White World	Michael Kiwanuka	yes	3ddle9t9JiBFVqHyrnaGxz	Black Man In A White World	Love & Hate	Michael Kiwanuka
Black Sheep (Brie Larson Vocal Version / Bonus Track) [feat. Brie Larson]	VARIOUS ARTISTS	no				
